"Country","LifeExp","InfantSurvival","Under5Survival","TBFree","PropMD","PropRN","PersExp","GovtExp","TotExp","LifeExp_4.6","TotExp_.06"
"Denmark",79,0.997,0.996,0.99993,0.003551934,0.009958195,4350,314588,318938,535901064.771775,2.13905709116461
"Djibouti",56,0.914,0.87,0.987,0.00017094,0.000361416,61,4002,4063,110068975.515267,1.64638275843236
"Dominica",74,0.987,0.985,0.99984,0.000558824,0.004661765,288,13206,13494,396703389.123585,1.76932837472946
"Dominican Republic",70,0.975,0.971,0.99882,0.001629745,0.001596672,197,4148,4345,307221060.568827,1.6530248669654
"Ecuador",73,0.979,0.976,0.99805,0.001388805,0.001559309,147,3717,3864,372636297.907919,1.64142947243292
"Egypt",68,0.971,0.965,0.99969,0.00242564,0.003367945,78,1290,1368,268869165.007414,1.5422868861002
"El Salvador",71,0.978,0.975,0.99936,0.001173913,0.000754658,177,5700,5877,327935478.264607,1.68325278401954
"Equatorial Guinea",46,0.876,0.794,0.99596,0.000308468,0.000546371,211,6474,6685,44533417.6551033,1.69631336834298
"Eritrea",63,0.952,0.926,0.99782,4.58e-05,0.000533887,8,80,88,189219777.507776,1.3081843832251
"Estonia",73,0.995,0.994,0.9996,0.00329403,0.006900746,516,27393,27909,372636297.907919,1.84818166098345
"Ethiopia",56,0.923,0.877,0.99359,2.39e-05,0.000191851,6,64,70,110068975.515267,1.29034511618927
"Fiji",69,0.984,0.982,0.9997,0.000456182,0.001992797,148,5355,5503,287544998.117969,1.67662512806644
"Finland",79,0.997,0.997,0.99996,0.003299183,0.008920357,2824,133956,136780,535901064.771775,2.03311224468879
"France",81,0.996,0.995,0.99989,0.0033797,0.007924442,3819,234850,238669,601216771.098773,2.10216964575173
"Gabon",58,0.94,0.909,0.99572,0.000301297,0.005170099,276,17220,17496,129350696.152865,1.79711689135575
"Gambia",59,0.916,0.886,0.99577,9.38e-05,0.001131088,15,550,565,139932712.770063,1.46259103431006
"Georgia",70,0.972,0.968,0.99916,0.004646289,0.004031356,123,1248,1371,307221060.568827,1.54248960971849
"Germany",80,0.996,0.995,0.99995,0.003441718,0.008010552,3628,209250,212878,567824255.512695,2.08779496975788
"Ghana",57,0.924,0.88,0.99621,0.000140821,0.000856528,30,490,520,119405501.256798,1.45532570629316
"Greece",80,0.996,0.996,0.99984,0.004994696,0.003596152,2580,65195,67775,567824255.512695,1.94923486852695
"Grenada",68,0.983,0.98,0.99992,0.000754717,0.003075472,342,6944,7286,268869165.007414,1.70509801971871
"Guatemala",68,0.969,0.959,0.99897,0.000764832,0.003452759,132,2400,2532,268869165.007414,1.60032364512894
"Guinea",53,0.902,0.839,0.99534,0.000107505,0.000480122,21,66,87,85441526.7549789,1.3072876402345
"Guinea-Bissau",48,0.881,0.8,0.99687,0.000114216,0.000651276,10,90,100,54163870.6073116,1.31825673855641
"Guyana",64,0.954,0.938,0.99785,0.000495264,0.002351827,60,1400,1460,203436033.848986,1.54832159590325
"Haiti",61,0.94,0.92,0.99598,0.000206331,8.83e-05,28,546,574,163123766.641985,1.46397854998058
"Honduras",70,0.977,0.973,0.99905,0.000527479,0.001223705,91,2162,2253,307221060.568827,1.58915285146777
"Hungary",73,0.994,0.993,0.99979,0.003039869,0.009163949,855,40602,41457,372636297.907919,1.89258708565385
"Iceland",81,0.998,0.997,0.99997,0.003758389,0.009932886,5154,395622,400776,601216771.098773,2.16857328029596
"India",63,0.943,0.924,0.99701,0.000560733,0.001191281,36,203,239,189219777.507776,1.38900520784814
"Indonesia",68,0.974,0.966,0.99747,0.000128893,0.000786314,26,588,614,268869165.007414,1.46990782639024
"Iran (Islamic Republic of)",71,0.97,0.965,0.99972,0.000880461,0.001581144,212,7973,8185,327935478.264607,1.71704280100456
"Iraq",56,0.963,0.953,0.99922,0.000666877,0.001333088,59,2948,3007,110068975.515267,1.61691803696884
"Ireland",80,0.996,0.996,0.99989,0.002936271,0.019403222,3993,193553,197546,567824255.512695,2.07845245515811
"Israel",81,0.996,0.995,0.99994,0.003691336,0.006256828,1533,93748,95281,601216771.098773,1.98948366841377
"Italy",81,0.997,0.996,0.99994,0.003657769,0.007137294,2692,140148,142840,601216771.098773,2.03840741511502
"Jamaica",72,0.974,0.968,0.99992,0.000834754,0.0016206,170,4399,4569,349727258.582782,1.65801810841128
"Japan",83,0.997,0.996,0.99971,0.002113049,0.009461544,2936,159192,162128,672603658.008208,2.05395763470464
"Jordan",71,0.979,0.975,0.99994,0.00234945,0.003218537,241,9047,9288,327935478.264607,1.73011643792311
"Kazakhstan",64,0.974,0.971,0.99858,0.003755648,0.007385268,148,5510,5658,203436033.848986,1.67942176238453
"Kenya",53,0.921,0.879,0.99666,0.000123273,0.00101532,24,231,255,85441526.7549789,1.39441617162802
"Kiribati",65,0.953,0.936,0.99598,0.000212766,0.002765957,118,4578,4696,218474845.328941,1.66074779805831
"Kuwait",78,0.991,0.989,0.99975,0.001741634,0.003576826,687,51940,52627,505399924.116092,1.91987307004112
"Kyrgyzstan",66,0.964,0.959,0.99863,0.002416809,0.00586119,28,396,424,234370045.044395,1.43761286776606
"Lao People's Democratic Republic",60,0.941,0.925,0.99708,0.000347283,0.000972391,18,84,102,151180491.092905,1.31982396624126
"Latvia",71,0.992,0.991,0.9994,0.003145478,0.005609436,443,18224,18667,327935478.264607,1.80411605621025
"Lebanon",70,0.973,0.969,0.99988,0.002081381,0.001163995,460,17400,17860,307221060.568827,1.79933856101266
"Lesotho",42,0.898,0.868,0.99487,4.46e-05,0.000562907,41,437,478,29305338.0706083,1.44799037081169
"Liberia",44,0.843,0.765,0.99422,2.88e-05,0.000289187,10,413,423,36297967.866321,1.43740920613171
"Libyan Arab Jamahiriya",72,0.983,0.982,0.99982,0.001170724,0.004497433,223,13175,13398,349727258.582782,1.76857058861154
"Lithuania",71,0.993,0.991,0.99939,0.003964202,0.007670188,448,19932,20380,327935478.264607,1.81364486574616
"Luxembourg",80,0.997,0.996,0.9999,0.002722343,0.009583514,6330,476420,482750,567824255.512695,2.19292276956159
"Madagascar",59,0.928,0.885,0.99585,0.000271465,0.000295475,9,162,171,139932712.770063,1.36138125550043
"Malawi",50,0.924,0.88,0.99678,1.96e-05,0.000535259,19,252,271,65352472.0369545,1.39951693304397
"Malaysia",72,0.99,0.988,0.99875,0.000651758,0.001661178,222,6732,6954,349727258.582782,1.70033338176119
"Maldives",72,0.974,0.97,0.99946,0.001006667,0.002953333,316,8100,8416,349727258.582782,1.71991246329765
"Mali",46,0.881,0.783,0.99422,8.8e-05,0.000696691,28,434,462,44533417.6551033,1.44503550683247
"Malta",79,0.995,0.994,0.99995,0.003861728,0.005953086,1235,91776,93011,535901064.771775,1.98660744555937
"Marshall Islands",63,0.95,0.944,0.99759,0.000413793,0.00262069,294,18876,19170,189219777.507776,1.80699656408725
"Mauritania",58,0.922,0.875,0.99394,0.000102825,0.000621879,17,451,468,129350696.152865,1.44615469270463
"Mauritius",73,0.988,0.985,0.9996,0.001040735,0.003677316,218,4704,4922,372636297.907919,1.6654381031849
"Mexico",74,0.971,0.965,0.99975,0.001859629,0.00084181,474,16340,16814,396703389.123585,1.79283475483541
"Micronesia (Federated States of)",69,0.967,0.959,0.99891,0.000540541,0.002252252,290,5830,6120,287544998.117969,1.6873496483657
"Monaco",82,0.997,0.996,0.99998,0.005636364,0.014060606,6128,458700,464828,636126841.29338,2.18795072430148
"Mongolia",66,0.965,0.958,0.99809,0.002584261,0.0033881,35,1539,1574,234370045.044395,1.55532188737807
"Montenegro",74,0.991,0.99,0.99951,0.002051581,0.005717138,299,13725,14024,396703389.123585,1.77342290827707
"Morocco",72,0.966,0.963,0.99921,0.000518296,0.000788513,89,1947,2036,349727258.582782,1.57952559031895
"Mozambique",50,0.904,0.862,0.99376,2.45e-05,0.000294836,14,315,329,65352472.0369545,1.41589730092498
"Namibia",61,0.955,0.939,0.99342,0.000292135,0.003001954,165,3888,4053,163123766.641985,1.6461393485925
"Nauru",61,0.975,0.97,0.99866,0.001,0.0063,567,30200,30767,163123766.641985,1.85902448174251
